,work_year,salary,salary_in_usd,remote_ratio
0,2022,63000,63000,50
1,2022,95000,95000,0
2,2022,70000,70000,0
3,2022,250000,48853,50
4,2022,120000,120000,100
5,2022,315000,315000,100
6,2022,220000,220000,100
7,2022,140000,140000,100
8,2021,55000,75650,50
9,2022,360000,360000,100
10,2021,50000,50000,0
11,2022,85000,85000,100
12,2022,90000,90000,100
13,2022,50000,50000,0
14,2022,290000,290000,100
15,2021,232000,232000,100
16,2022,244000,244000,100
17,2022,112000,112000,100
18,2022,72000,72000,100
19,2022,60000,64955,50
20,2020,450000,6072,50
21,2021,45000,53192,100
22,2022,109000,118002,100
23,2022,152000,152000,0
24,2022,91000,91000,0
25,2022,120000,129910,50
26,2022,207000,207000,100
27,2022,300000,300000,50
28,2022,115000,115000,100
29,2022,126700,99397,100
30,2022,52000,52000,100
31,2022,237000,237000,100
32,2021,150000,150000,50
33,2022,110000,110000,0
34,2022,104000,104000,100
35,2021,75000,75000,0
36,2022,165000,165000,100
37,2022,190000,190000,100
38,2022,135000,135000,100
39,2022,150000,117676,100
40,2022,97900,97900,50
41,2022,90000,90000,100
42,2021,175000,175000,100
43,2022,89998,89998,0
44,2022,150000,150000,100
45,2022,115000,115000,100
46,2022,135000,135000,50
47,2022,102000,102000,50
48,2022,108000,108000,100
49,2022,200000,200000,100
50,2022,85000,89676,50
51,2022,50000,50000,0
52,2022,157000,157000,0
53,2022,108000,108000,0
54,2022,148000,148000,0
55,2022,130000,130000,0
56,2022,120000,120000,0
57,2022,450000,65475,50
58,2022,150000,150000,100
59,2022,500000,6522,100
60,2022,184800,184800,100
61,2022,130800,130800,100
62,2022,80000,102646,100
63,2022,60000,76985,100
64,2022,114000,114000,0
65,2022,207000,207000,100
66,2022,153000,153000,100
67,2022,245000,245000,100
68,2022,98000,98000,50
69,2022,220100,220100,100
70,2022,176080,176080,100
71,2022,226400,226400,100
72,2022,124300,124300,100
73,2022,145000,145000,100
74,2022,50000,50000,100
75,2022,50000,54129,50
76,2022,50000,50000,100
77,2022,50000,50000,100
78,2022,40000,43303,50
79,2022,238200,238200,100
80,2022,176100,176100,100
81,2022,181940,181940,100
82,2022,132000,132000,100
83,2022,186000,186000,100
84,2022,148800,148800,100
85,2022,252000,252000,100
86,2022,145000,145000,100
87,2022,236000,236000,100
88,2021,12000,8929,0
89,2022,167000,167000,100
90,2022,175000,175000,100
91,2022,70000,50002,50
92,2022,86500,86500,50
93,2022,120000,129910,50
94,2022,200100,200100,100
95,2022,160080,160080,100
96,2022,165400,165400,100
97,2022,132320,132320,100
98,2022,207800,207800,100
99,2022,153600,153600,100
100,2021,25000,29551,100
101,2021,88000,88000,100
102,2022,180000,180000,100
103,2022,210000,210000,100
104,2022,160000,160000,100
105,2022,250600,250600,100
106,2022,118100,118100,100
107,2022,105800,105800,100
108,2022,81600,81600,100
109,2022,140000,140000,100
110,2022,267840,267840,100
111,2022,214056,214056,100
112,2022,240000,188282,100
113,2022,107000,137290,100
114,2022,92000,118043,100
115,2022,80000,80000,100
116,2022,60000,60000,100
117,2022,60000,60000,100
118,2022,60000,60000,100
119,2022,60000,60000,100
120,2021,115000,115000,100
121,2021,750000,10142,50
122,2022,80000,102646,100
123,2022,55000,70569,100
124,2022,170000,170000,0
125,2022,140000,140000,0
126,2022,175000,175000,0
127,2022,180000,180000,100
128,2022,101000,101000,100
129,2022,101000,101000,100
130,2022,175000,175000,100
131,2022,97500,97500,100
132,2022,67000,67000,100
133,2022,124600,124600,100
134,2022,96000,96000,100
135,2022,292000,292000,100
136,2022,170000,170000,100
137,2022,160000,160000,0
138,2022,140000,140000,0
139,2022,180000,180000,100
140,2022,140000,140000,100
141,2022,245000,245000,0
142,2022,190000,190000,0
143,2022,226400,226400,100
144,2022,124300,124300,100
145,2022,63000,49424,100
146,2022,91600,91600,100
147,2022,165000,165000,50
148,2022,160000,160000,100
149,2022,92400,92400,100
150,2022,103000,103000,100
151,2022,154000,154000,100
152,2022,139000,139000,100
153,2022,160000,160000,100
154,2022,120000,120000,100
155,2022,50000,64154,50
156,2022,82900,82900,100
157,2022,63900,63900,100
158,2022,75000,75000,100
159,2022,75000,75000,100
160,2022,89000,89000,0
161,2022,68462,68462,0
162,2022,72500,72500,100
163,2022,276900,276900,100
164,2022,168400,168400,100
165,2022,105800,105800,0
166,2022,81600,81600,0
167,2022,177600,177600,100
168,2022,131300,131300,100
169,2022,120000,120000,100
170,2022,90000,90000,100
171,2022,145000,145000,100
172,2022,105400,105400,100
173,2022,220000,220000,0
174,2022,140000,140000,0
175,2022,175000,175000,100
176,2022,130000,130000,100
177,2022,20000,21651,100
178,2022,60000,60000,100
179,2022,80000,80000,100
180,2022,200100,200100,100
181,2022,160080,160080,100
182,2022,135000,135000,100
183,2022,100000,100000,100
184,2022,195000,195000,100
185,2022,170000,170000,100
186,2022,108070,108070,100
187,2022,91860,91860,100
188,2022,207800,207800,100
189,2022,153600,153600,100
190,2022,102600,102600,100
191,2022,82080,82080,100
192,2022,160000,160000,0
193,2022,110000,110000,0
194,2022,140000,151562,100
195,2022,100000,108258,100
196,2022,120000,129910,100
197,2022,80000,86607,100
198,2022,180000,194866,100
199,2022,140000,151562,100
200,2022,240000,259821,100
201,2022,180000,194866,100
202,2022,152000,152000,0
203,2022,91000,91000,0
204,2022,200100,200100,100
205,2022,160080,160080,100
206,2022,193800,193800,100
207,2022,62000,62000,100
208,2022,160000,160000,100
209,2022,120000,120000,100
210,2022,192400,192400,100
211,2022,90700,90700,100
212,2022,150260,150260,100
213,2022,109280,109280,100
214,2022,175000,175000,0
215,2022,90000,90000,0
216,2022,200100,200100,100
217,2022,160080,160080,100
218,2022,130200,130200,100
219,2022,106500,106500,100
220,2022,146800,146800,100
221,2022,118200,118200,100
222,2022,165200,165200,100
223,2022,133000,133000,100
224,2022,165200,165200,100
225,2022,133000,133000,100
226,2022,146800,146800,100
227,2022,118200,118200,100
228,2022,115700,115700,100
229,2022,94700,94700,100
230,2022,60000,60000,100
231,2022,50000,50000,100
232,2022,210000,210000,0
233,2022,160000,160000,0
234,2022,144200,144200,0
235,2022,132870,132870,0
236,2022,175000,175000,0
237,2022,120000,120000,0
238,2022,180000,180000,100
239,2022,80000,80000,100
240,2022,91670,91670,0
241,2022,63500,63500,0
242,2022,180000,180000,0
243,2022,90000,90000,0
244,2022,40000,43303,0
245,2022,25000,27064,0
246,2022,165400,165400,100
247,2022,132320,132320,100
248,2022,184800,184800,100
249,2022,148800,148800,100
250,2022,207500,207500,100
251,2022,125000,125000,100
252,2022,165400,165400,100
253,2022,132320,132320,100
254,2022,145000,145000,100
255,2022,118600,118600,100
256,2022,152000,152000,0
257,2022,91000,91000,0
258,2022,210000,210000,0
259,2022,160000,160000,0
260,2022,157000,157000,0
261,2022,108000,108000,0
262,2022,175000,175000,100
263,2022,90000,90000,100
264,2022,80000,102646,100
265,2022,65000,83400,100
266,2022,220000,220000,100
267,2022,165400,165400,100
268,2022,184800,184800,100
269,2022,148800,148800,100
270,2022,145000,145000,100
271,2022,118600,118600,100
272,2022,165400,165400,0
273,2022,132320,132320,0
274,2022,165400,165400,100
275,2022,132320,132320,100
276,2022,160000,160000,100
277,2022,130000,130000,100
278,2022,115000,115000,100
279,2022,100000,100000,100
280,2022,131500,131500,100
281,2022,111775,111775,100
282,2022,221500,221500,100
283,2022,104400,104400,100
284,2022,210000,210000,0
285,2022,160000,160000,0
286,2022,140000,140000,100
287,2022,90000,90000,100
288,2022,165400,165400,100
289,2022,132320,132320,100
290,2022,60000,60000,100
291,2022,50000,50000,100
292,2022,267840,267840,100
293,2022,214056,214056,100
294,2022,201000,201000,100
295,2022,160080,160080,100
296,2022,172000,172000,0
297,2022,87000,87000,0
298,2022,141300,141300,0
299,2022,102100,102100,0
300,2022,141300,141300,0
301,2022,88100,88100,0
302,2022,120000,120000,100
303,2022,30000,30000,100
304,2022,222500,222500,100
305,2022,135000,135000,100
306,2022,300000,300000,100
307,2022,250000,250000,100
308,2022,210000,210000,0
309,2022,160000,160000,0
310,2022,168400,168400,100
311,2022,148000,148000,100
312,2022,165400,165400,100
313,2022,132320,132320,100
314,2022,200100,200100,100
315,2022,160080,160080,100
316,2022,220100,220100,100
317,2022,176080,176080,100
318,2022,140000,179632,0
319,2022,120000,153970,0
320,2022,65000,65000,100
321,2022,55000,55000,100
322,2022,230000,230000,0
323,2022,190000,190000,0
324,2022,182750,182750,100
325,2022,153000,153000,100
326,2022,210000,210000,100
327,2022,140000,140000,100
328,2022,207000,207000,100
329,2022,153000,153000,100
330,2022,182000,182000,100
331,2022,153000,153000,100
332,2022,220100,220100,100
333,2022,176080,176080,100
334,2022,120000,120000,100
335,2022,90000,90000,100
336,2022,60000,60000,100
337,2022,50000,50000,100
338,2022,276900,276900,100
339,2022,104400,104400,100
340,2022,192400,192400,100
341,2022,90700,90700,100
342,2022,210000,210000,100
343,2022,160000,160000,100
344,2022,208775,208775,100
345,2022,147800,147800,100
346,2022,157000,157000,0
347,2022,108000,108000,0
348,2022,152000,152000,0
349,2022,91000,91000,0
350,2022,200100,200100,100
351,2022,160080,160080,100
352,2022,111000,111000,50
353,2022,200000,200000,100
354,2022,1600000,20873,0
355,2022,75000,58838,100
356,2022,220000,220000,100
357,2022,150000,150000,100
358,2022,271600,271600,100
359,2022,122500,122500,100
360,2022,129000,129000,100
361,2022,260000,260000,100
362,2022,145000,145000,100
363,2022,135000,135000,100
364,2022,70000,13678,100
365,2022,126000,126000,0
366,2022,122000,122000,50
367,2022,45500,49257,50
368,2022,75000,81194,100
369,2022,140000,140000,100
370,2022,150000,150000,100
371,2021,172500,172500,100
372,2022,120000,120000,50
373,2022,259000,259000,50
374,2022,180000,180000,50
375,2022,250000,250000,100
376,2022,105000,105000,100
377,2022,104000,104000,100
378,2022,192500,192500,100
379,2022,5800,5800,0
380,2022,35620,38561,0
381,2021,190000,190000,0
382,2022,100000,100000,100
383,2022,10000,10000,100
384,2022,224000,224000,100
385,2022,125000,125000,100
386,2021,120000,120000,100
387,2022,10000,10000,50
388,2022,42000,45468,100
389,2022,215000,215000,100
390,2022,260000,260000,100
391,2022,45000,45000,100
392,2022,300000,58624,100
393,2021,50000,50000,100
394,2022,149000,149000,100
395,2020,107000,107000,0
396,2022,140000,140000,100
397,2022,232000,182006,100
398,2022,127000,127000,100
399,2022,50000,50000,100
400,2022,1400000,18263,100
401,2022,130000,130000,100
